link,price,pid,name
/karbonn-k72/p/itmdmve88ct84egz?pid=MOBDMVE8SYE5PPU3&srno=b_2581&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,"Rs. 1,699",MOBDMVE8SYE5PPU3,Karbonn K72+ (White)
/karbonn-k122/p/itmdnzhtndsryxhs?pid=MOBDNZHSFCYGKKUZ&srno=b_2536&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,"Rs. 1,055",MOBDNZHSFCYGKKUZ,Karbonn K122 K122 (Black)
/htc-one-x-s720e/p/itmdp95fhjf7fv2t?pid=MOBDEFFBCQGQHS6P&srno=b_2537&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,"Rs. 21,490",MOBDEFFBCQGQHS6P,"HTC ONE X S720E (White, with 16 GB)"
/iball-king1-8d/p/itmdvpejuzshtnsw?pid=MOBDVPEJRUHTGABT&srno=b_2538&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,"Rs. 1,098",MOBDVPEJRUHTGABT,iBall King1.8D (White)
/zen-306-ultrafone-play/p/itmdz7yy2heybw2b?pid=MOBDZ7FFGNGGHQHZ&srno=b_2539&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,"Rs. 3,025",MOBDZ7FFGNGGHQHZ,Zen 306 Ultrafone 306 Play (Black & Red)
/samsung-rex-70-s3802/p/itmdv6eybtgnzenz?pid=MOBDGHAMAQYD9PPM&srno=b_2543&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 3,870",MOBDGHAMAQYD9PPM,Samsung Rex 70 S3802 (Chic White)
/intex-star-one/p/itmdx35g8sxgbrgf?pid=MOBEYFKN2RC39M3Y&srno=b_2544&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 1,199",MOBEYFKN2RC39M3Y,Intex Star One (Red)
/karbonn-k707/p/itmdpzgy8ajqe2tn?pid=MOBDPZGYSWXAHDTT&srno=b_2545&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 1,790",MOBDPZGYSWXAHDTT,Karbonn K707+ (Black)
/domo-ntice-g12-phablet-mobile-smartphone/p/itmdnc3favygfxth?pid=MOBDNB6USMPE2GAG&srno=b_2540&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,"Rs. 3,990",MOBDNB6USMPE2GAG,DOMO nTice G12 Phablet Mobile Smartphone (White)
/intex-cloud-y13/p/itmdrudrjrzpqpgz?pid=MOBDRUDQQHECVHPV&srno=b_2541&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,N/A,MOBDRUDQQHECVHPV,Intex Cloud Y13 (White)
/karbonn-kochadaiiyaan-legend-a36/p/itmdthgtnfvbgd7q?pid=MOBDTHGTY2WZAAD9&srno=b_2546&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 5,499",MOBDTHGTY2WZAAD9,Karbonn Kochadaiiyaan The Legend A36 (Black & Silver)
/blackberry-curve-9320/p/itmd9ydytbj6gjf5?pid=MOBDCAJJMRFJKZC3&srno=b_2547&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 9,999",MOBDCAJJMRFJKZC3,Blackberry Curve 9320 (White)
/samsung-galaxy-music-duos-s6012/p/itmeyfrtfbffmdq2?pid=MOBDFZQ8X8SHRX8Z&srno=b_2548&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 7,750",MOBDFZQ8X8SHRX8Z,Samsung Galaxy Music Duos S6012 (Ceramic White)
/micromax-canvas-hd-a116/p/itmdv6f6znjt7qbc?pid=MOBDJ8H9X7VQEMUA&srno=b_2549&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 12,111",MOBDJ8H9X7VQEMUA,Micromax Canvas HD A116 (White)
/lemon-b809/p/itmdsg4fdsugww3h?pid=MOBDSG4FSUAUMCR7&srno=b_2550&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,N/A,MOBDSG4FSUAUMCR7,Lemon B809 (Black)
/intex-sharp-2-4/p/itmdv4qvca9gfehz?pid=MOBDPDSMZJXHVQBZ&srno=b_2551&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 1,399",MOBDPDSMZJXHVQBZ,Intex Sharp 2.4 (Grey)
/salora-sm204/p/itmdtqf8faw5shgn?pid=MOBDTQF5DD2NGAWM&srno=b_2552&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,N/A,MOBDTQF5DD2NGAWM,Salora SM204 (Red)
/celkon-campus-a42/p/itmdzmyd82svnh27?pid=MOBDYWWGDTRNHKGS&srno=b_2553&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 5,199",MOBDYWWGDTRNHKGS,Celkon Campus A42 (Black)
/hitech-h2i/p/itmdsy9ymzcyvz2j?pid=MOBDSY9YVGQGVWPG&srno=b_2554&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,N/A,MOBDSY9YVGQGVWPG,Hitech H2i (Red)
/alcatel-890d/p/itmdwrd2gjdkkdgu?pid=MOBDWRD2UWVCBFHZ&srno=b_2555&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 2,499",MOBDWRD2UWVCBFHZ,Alcatel 890D (Orange)
/onida-g-series-g181/p/itmdy8myfu42wppx?pid=MOBDY8MYMMCCNDCW&srno=b_2556&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 1,200",MOBDY8MYMMCCNDCW,Onida G Series G181 (Black & Red)
/lava-arc4/p/itmdzbs5sqhmgnzw?pid=MOBDKNGRSEGDCFFR&srno=b_2557&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 1,049",MOBDKNGRSEGDCFFR,Lava ARC4 (Black)
/karbonn-k101/p/itmdupgw7df47kff?pid=MOBDEF5MWKYSDZHZ&srno=b_2558&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,Rs. 922,MOBDEF5MWKYSDZHZ,Karbonn K101 (White Yellow)
/google-nexus-4/p/itmdzsgjkemg8mzp?pid=MOBDKVGZUEGRAYZD&srno=b_2559&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 25,999",MOBDKVGZUEGRAYZD,Google Nexus 4 (Black)
/samsung-galaxy-music-duos-s6012/p/itmeyfrtfbffmdq2?pid=MOBDFZQ8ZG9ZAHXX&srno=b_2560&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 7,750",MOBDFZQ8ZG9ZAHXX,Samsung Galaxy Music Duos S6012 (Splash Blue)
/intex-focus-v/p/itmdq27bxpgzj6hz?pid=MOBDQ276MTTK2A5W&srno=b_2561&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,N/A,MOBDQ276MTTK2A5W,Intex Focus-v (Grey)
/videocon-dost-v1615/p/itmdqaydkjfznu3f?pid=MOBDQAYCZF7NGHGH&srno=b_2402&ref=0069ecac-f5c7-4179-b559-cddefbba1cc2,N/A,MOBDQAYCZF7NGHGH,Videocon Dost V1615 (Black)
/nokia-asha-308/p/itmdee6zkb9zzwgj?pid=MOBDEHESXMNYD3AN&srno=b_2403&ref=0069ecac-f5c7-4179-b559-cddefbba1cc2,"Rs. 5,775",MOBDEHESXMNYD3AN,Nokia Asha 308 (Golden Light)
